設置校舎,学年,時間割CD,履修期名,曜日,1,2,3,4,5,6,科目名,特記事項,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教員,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室,教室
船橋,1,K11A,前期,月,○,,,,,,応用情報工学インセンティブ,,香取　照臣,高橋　聖,西脇　大輔,保谷　哲也,細野　裕行,松野　裕,望月　寛,五味　悠一郎,澤邉　知子,滕　琳,村上　知里,山口　健,関　弘翔,,,,,,,,,,,,,,,,,,,,1131,,,,,,,,,,
船橋,1,K11B,後期,月,○,,,,,,情報基礎演習Ⅱ,,高橋　聖,保谷　哲也,松野　裕,五味　悠一郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,1201(PC演習室),1204(PC演習室),1442,,,,,,,
船橋,2,K12A,前期,月,,○,,,,,情報デバイス,,五味　悠一郎,山口　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,
船橋,2,K12B,後期,月,,○,,,,,離散数学,,松野　裕,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,階段教室(小),,,,,,,,,,
船橋,3,K12C,前期,月,,○,,,,,応用数学,,細野　裕行,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,
船橋,3,K12D,後期,月,,○,,,,,データベース,,関　弘翔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,1201(PC演習室),1204(PC演習室),,,,,,,,
船橋,1,K13A,年間隔週,月,,,○,○,,,情報工学実験Ⅰ,年間隔週授業,香取　照臣,西脇　大輔,澤邉　知子,滕　琳,笠島　正明,,,,,,,,,,,,,,,,,,,,,,,,,,,,231(実験室),1223(PC演習室),,,,,,,,,
船橋,3,K13B,年間,月,,,○,○,,,情報工学実験Ⅲ,,保谷　哲也,松野　裕,村上　知里,関　弘翔,宮崎　比呂志,,,,,,,,,,,,,,,,,,,,,,,,,,,,221(実験室),,,,,,,,,,
船橋,4,K13C,前期,月,,,○,,,,コンピュータグラフィックス,,吉川　浩,山口　健,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,
船橋,1,K21A,前期隔週,火,○,○,,,,,自主創造の基礎,前期隔週授業,鈴木　功士,時田　伊津子,中村　文紀,山口　健,望月　寛,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,
船橋,3,K21B,前期,火,○,,,,,,ディジタル信号処理,,望月　寛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,
船橋,3,K21C,後期,火,○,,,,,,人工知能,,西脇　大輔,滕　琳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,,,,,,,,,,
船橋,2,K22A,前期,火,,○,,,,,計算機工学Ⅱ,,西脇　大輔,村上　知里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,,,,,,,,,,
船橋,2,K22B,後期,火,,○,,,,,キャリアデザイン入門,,篠原　昭夫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,,,,,,,,,,
